Date,Aggregate,Fridge,Chest Freezer,Upright Freezer,Tumble Dryer,Washing Machine,Dishwasher,Computer Site,Television Site,Electric Heater,tavg,day_of_week,is_weekend,month,day_of_month,quarter,tavg_rolling_7,tavg_rolling_30,Aggregate_rolling_7_mean,Aggregate_rolling_7_std,Aggregate_lag_1,Aggregate_lag_2,Aggregate_lag_3,Aggregate_lag_4,Aggregate_lag_5,Aggregate_lag_6,Aggregate_lag_7,Fridge_rolling_7_mean,Chest Freezer_rolling_7_mean,Upright Freezer_rolling_7_mean,Tumble Dryer_rolling_7_mean,Tumble Dryer_lag_14,Washing Machine_rolling_7_mean,Washing Machine_lag_15,Washing Machine_lag_17,Dishwasher_rolling_7_mean,Dishwasher_lag_3,Dishwasher_lag_6,Dishwasher_lag_27,Computer Site_rolling_7_mean,Computer Site_lag_1,Computer Site_lag_2,Computer Site_lag_3,Computer Site_lag_4,Computer Site_lag_5,Computer Site_lag_6,Computer Site_lag_7,Television Site_rolling_7_mean,Television Site_lag_1,Television Site_lag_2,Television Site_lag_3,Television Site_lag_4,Electric Heater_rolling_7_mean,Electric Heater_lag_1,Electric Heater_lag_2,Electric Heater_lag_3,Electric Heater_lag_4,Electric Heater_lag_5,Electric Heater_lag_6,Electric Heater_lag_7
2013-10-09,5192.675555555556,132.1,173.5825,304.2475,5.136666666666667,0.0,0.0,0.0,75.92611111111111,10.891666666666667,11.2,2,0,10,9,4,11.2,11.2,5192.675555555556,,,,,,,,,132.1,173.5825,304.2475,5.136666666666667,,0.0,,,0.0,,,,0.0,,,,,,,,75.92611111111111,,,,,10.891666666666667,,,,,,,
2013-10-10,14250.194444444443,399.3416666666666,353.4725,791.6983333333334,0.3377777777777778,0.0,872.9552777777778,29.070555555555558,162.79861111111111,23.988055555555555,8.8,3,0,10,10,4,10.0,10.0,9721.435,6404.633027058576,5192.675555555556,,,,,,,265.7208333333333,263.52750000000003,547.9729166666667,2.7372222222222224,,0.0,,,436.4776388888889,,,,14.535277777777779,0.0,,,,,,,119.36236111111111,75.92611111111111,,,,17.43986111111111,10.891666666666667,,,,,,
2013-10-11,5666.059166666667,319.6977777777778,378.2936111111111,638.8972222222222,0.0,0.0,0.0,0.0,1.4894444444444443,23.995833333333334,10.7,4,0,10,11,4,10.233333333333333,10.233333333333333,8369.643055555554,5098.20424157756,14250.194444444443,5192.675555555556,,,,,,283.71314814814815,301.78287037037035,578.2810185185185,1.824814814814815,,0.0,,,290.9850925925926,,,,9.690185185185186,29.070555555555558,0.0,,,,,,80.07138888888889,162.79861111111111,75.92611111111111,,,19.625185185185185,23.988055555555555,10.891666666666667,,,,,
2013-10-12,5169.675277777778,302.9377777777778,370.5844444444445,592.3997222222222,0.0,0.0,0.0,0.0,1.5516666666666667,23.976944444444445,11.6,5,1,10,12,4,10.575,10.575,7569.651111111111,4459.5671804855265,5666.059166666667,14250.194444444443,5192.675555555556,,,,,288.51930555555555,318.9832638888889,581.8106944444444,1.3686111111111112,,0.0,,,218.23881944444446,0.0,,,7.267638888888889,0.0,29.070555555555558,0.0,,,,,60.44145833333334,1.4894444444444443,162.79861111111111,75.92611111111111,,20.713124999999998,23.995833333333334,23.988055555555555,10.891666666666667,,,,
2013-10-13,5147.283055555556,276.675,362.1066666666667,607.3608333333333,0.0,0.0,0.0,0.0,1.495277777777778,23.986944444444447,10.6,6,1,10,13,4,10.58,10.58,7085.1775,4011.1566881964263,5169.675277777778,5666.059166666667,14250.194444444443,5192.675555555556,,,,286.1504444444444,327.60794444444446,586.9207222222223,1.094888888888889,,0.0,,,174.59105555555556,872.9552777777778,,,5.814111111111112,0.0,0.0,29.070555555555558,0.0,,,,48.65222222222222,1.5516666666666667,1.4894444444444443,162.79861111111111,75.92611111111111,21.36788888888889,23.976944444444445,23.995833333333334,23.988055555555555,10.891666666666667,,,
2013-10-14,5891.088333333333,259.65583333333336,365.8805555555556,615.0158333333334,0.0,0.0,0.0,0.0,1.49,23.98555555555556,9.4,0,0,10,14,4,10.383333333333333,10.383333333333333,6886.162638888888,3620.655171577209,5147.283055555556,5169.675277777778,5666.059166666667,14250.194444444443,5192.675555555556,,,281.73467592592596,333.98671296296294,591.6032407407407,0.9124074074074074,,0.0,,,145.4925462962963,0.0,,,4.845092592592593,0.0,0.0,0.0,29.070555555555558,0.0,,,40.79185185185185,1.495277777777778,1.5516666666666667,1.4894444444444443,162.79861111111111,21.80416666666667,23.986944444444447,23.976944444444445,23.995833333333334,23.988055555555555,10.891666666666667,,
2013-10-15,7655.451944444445,249.26305555555555,351.5286111111111,553.0219444444444,0.0,0.0,0.0038888888888888,0.0,1.5552777777777778,23.99083333333333,10.5,1,0,10,15,4,10.4,10.4,6996.061111111111,3317.9557379408743,5891.088333333333,5147.283055555556,5169.675277777778,5666.059166666667,14250.194444444443,5192.675555555556,,277.095873015873,336.4926984126984,586.0916269841271,0.7820634920634921,,0.0,,,124.7084523809524,0.0,0.0,,4.152936507936508,0.0,0.0,0.0,0.0,29.070555555555558,0.0,,35.18662698412699,1.49,1.495277777777778,1.5516666666666667,1.4894444444444443,22.11654761904762,23.98555555555556,23.986944444444447,23.976944444444445,23.995833333333334,23.988055555555555,10.891666666666667,
2013-10-16,6006.416111111112,251.7186111111111,344.29027777777776,557.48,0.0,0.0,0.0,0.0,1.5266666666666666,24.0,9.6,2,0,10,16,4,10.171428571428569,10.3,7112.309761904762,3257.9539385931525,7655.451944444445,5891.088333333333,5147.283055555556,5169.675277777778,5666.059166666667,14250.194444444443,5192.675555555556,294.18424603174606,360.87952380952385,622.2676984126985,0.04825396825396826,,0.0,,,124.7084523809524,0.0,872.9552777777778,,4.152936507936508,0.0,0.0,0.0,0.0,0.0,29.070555555555558,0.0,24.55813492063492,1.5552777777777778,1.49,1.495277777777778,1.5516666666666667,23.989166666666666,23.99083333333333,23.98555555555556,23.986944444444447,23.976944444444445,23.995833333333334,23.988055555555555,10.891666666666667
2013-10-17,11045.885555555556,246.415,367.985,569.2208333333333,0.0,0.0,0.0,0.0,1.518888888888889,23.986666666666668,12.4,3,0,10,17,4,10.685714285714285,10.533333333333333,6654.551349206349,2111.176789863712,6006.416111111112,7655.451944444445,5891.088333333333,5147.283055555556,5169.675277777778,5666.059166666667,14250.194444444443,272.33757936507936,362.95273809523815,590.4851984126983,0.0,,0.0,,,0.0005555555555555429,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.070555555555558,1.5181746031746033,1.5266666666666666,1.5552777777777778,1.49,1.495277777777778,23.988968253968256,24.0,23.99083333333333,23.98555555555556,23.986944444444447,23.976944444444445,23.995833333333334,23.988055555555555
2013-10-18,5207.886666666666,292.55055555555555,372.53222222222223,570.1308333333334,0.0,0.0,0.0,0.0,1.475,24.0,12.1,4,0,10,18,4,10.885714285714284,10.690000000000001,6589.098134920635,2153.60696175427,11045.885555555556,6006.416111111112,7655.451944444445,5891.088333333333,5147.283055555556,5169.675277777778,5666.059166666667,268.45940476190475,362.12968253968256,580.6614285714286,0.0,,0.0,,,0.0005555555555555429,0.0038888888888888,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5161111111111112,1.518888888888889,1.5266666666666666,1.5552777777777778,1.49,23.989563492063493,23.986666666666668,24.0,23.99083333333333,23.98555555555556,23.986944444444447,23.976944444444445,23.995833333333334
